loan_amount,loan_repaid,crop_insured,years_of_exp_in_sericulture,training_on_sericulture,krishi_pond,borewell_recharge,rain_harvesting,own_compost_manure,own_vermi_compost,trenching_mulching,bio_fertilizers,mechanization,mulberry_diseases,affected_by_pest,rearing_cost,instrument_mgmt_cost,temp_mgmt,humidity_mgmt,airvent_temp_mgmt,rotary_mounting,seri_total_subsidy,income_per_acre,chawki_bivol,rearing_cost_missing
50000,1,0,8,0,0,0,0,0,0,0,0,0,1,1,10000,1100,1,1,1,1,10200,35937.5,1,10000
1.00E+05,1,0,0,1,0,0,0,0,0,0,1,0,0,0,50000,0,0,0,1,1,90200,25000,1,50000
40000,1,0,4,1,0,0,0,1,0,1,1,0,1,1,0,10000,1,1,1,1,0,31111.11111,0,0
60000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,20000,1100,0,0,1,0,85200,20161.29032,1,20000
50000,1,0,8,1,0,0,0,0,1,0,1,0,1,1,50000,20000,1,1,1,1,85200,24000,1,50000
70000,1,1,8,1,0,0,0,1,0,0,0,1,1,1,35000,0,1,1,1,1,20400,32500,1,35000
45000,1,1,5,1,0,0,0,1,1,0,0,1,1,1,50000,20000,1,1,1,0,10200,24444.44444,1,50000
50000,0,0,0,1,0,0,0,0,0,0,0,0,1,1,30000,20000,1,1,1,1,10200,21739.13043,1,30000
30000,0,1,4,1,0,0,0,1,1,1,1,1,1,1,0,10000,1,1,1,1,0,33333.33333,1,0
50000,1,1,4,1,0,0,0,1,0,1,1,0,1,0,30000,1200,1,1,1,1,10200,23255.81395,1,30000
70000,0,1,10,1,0,0,0,0,0,1,0,1,1,1,70000,0,1,1,1,0,10200,28888.88889,1,70000
80000,0,0,3,1,0,0,1,0,0,1,1,0,1,1,40000,0,0,0,1,0,47000,-12500,1,40000
0,1,0,3,1,0,0,0,0,0,1,1,0,1,1,25000,0,0,0,1,0,172000,-833.3333333,0,25000
45000,1,0,1,1,0,0,0,0,0,1,1,0,1,1,30000,0,0,0,1,0,292500,0,0,30000
0,1,0,3,1,0,0,0,0,0,1,1,0,1,1,35000,0,0,0,1,0,93000,-2500,0,35000
0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,40000,0,0,0,1,0,20000,0,1,40000
150000,0,0,3,1,0,0,0,0,0,1,1,1,1,1,20000,0,1,1,1,0,79000,0,1,20000
0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,40000,0,1,1,1,0,107000,50000,1,40000
0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,40000,0,1,1,1,0,267090,60000,1,40000
30000,1,0,40,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,45000,1,0
30000,1,1,8,1,0,0,0,0,1,0,0,1,1,1,30000,20000,1,1,1,0,0,21739.13043,1,30000
60000,1,0,2,1,1,0,0,0,0,0,1,0,0,0,40000,0,1,1,1,0,95090,-7692.307692,1,
1.00E+05,1,1,0,1,0,0,0,1,1,1,0,0,1,1,38000,20000,1,1,1,1,0,13432.83582,1,38000
2.00E+05,1,0,20,0,0,0,0,0,0,0,0,0,1,1,80000,0,0,0,0,0,41000,40000,1,
0,1,0,20,1,0,0,0,0,0,0,1,0,1,0,65000,0,1,1,1,1,81500,33333.33333,0,65000
0,1,0,10,0,0,0,0,0,0,0,1,1,1,0,50000,0,1,1,0,0,63000,33333.33333,0,50000
0,1,0,16,1,0,1,0,1,0,0,0,0,0,0,60000,500,1,1,1,1,151200,48000,0,60000
0,1,0,20,1,0,0,0,1,0,0,0,0,0,1,35000,500,1,1,1,0,35000,0,0,35000
60000,1,1,5,1,0,0,0,0,1,1,0,1,1,1,50000,20000,1,1,1,0,10200,21774.19355,1,50000
30000,1,1,5,1,0,0,0,0,0,1,0,1,1,1,60000,0,1,1,1,0,10200,30000,1,60000
80000,1,1,4,1,0,0,0,0,0,1,1,1,1,1,30000,20000,1,1,1,0,85200,15000,1,30000
40000,1,1,7,1,0,0,0,0,1,0,1,0,1,1,35000,20000,1,1,1,0,10350,22448.97959,1,35000
0,1,0,21,1,0,0,0,1,0,0,0,0,0,1,40000,500,0,0,0,0,50000,25000,0,40000
0,1,0,15,1,0,0,0,1,0,0,0,0,0,1,40000,500,1,1,1,1,148000,25000,0,40000
150000,1,0,7,1,1,0,0,0,0,1,0,0,0,0,35000,0,1,1,1,0,170180,50000,1,35000
1.00E+05,1,0,5,1,1,0,0,0,0,0,0,0,1,0,1.00E+05,0,1,1,1,1,252590,14285.71429,1,1.00E+05
50000,1,0,2,0,0,1,0,0,0,0,1,1,1,0,25000,1200,0,0,0,0,104000,36250,1,25000
0,1,0,22,1,0,1,0,1,1,1,1,0,1,1,25000,0,1,1,1,0,127500,6000,1,25000
10000,0,0,10,0,0,0,0,0,0,0,0,0,1,1,30000,4000,0,0,0,0,90000,10000,0,30000
50000,1,0,2,1,0,0,0,0,1,0,1,0,1,0,20000,10000,0,0,1,0,106000,18750,1,20000
10000,1,0,15,1,0,0,0,0,0,0,0,1,0,1,25000,0,1,1,1,0,85000,25000,1,25000
30,1,0,3,1,1,0,0,0,0,1,1,0,1,1,25000,0,0,1,1,1,127000,-5833.333333,0,25000
30000,1,0,3,1,0,0,0,0,0,0,1,0,0,0,30000,1200,1,1,1,1,10200,26666.66667,1,30000
50000,1,0,7,1,0,0,0,0,1,1,1,0,1,0,0,15000,1,1,1,1,60200,33333.33333,1,0
70000,1,0,8,1,0,0,0,0,0,1,1,0,1,1,0,1500,1,1,1,1,10200,15066.66667,1,0
50000,1,1,6,0,0,0,0,1,0,1,1,1,1,0,50000,10000,1,1,1,1,10200,18181.81818,1,50000
30000,1,0,8,1,0,0,0,0,1,0,1,0,1,0,12000,1100,1,1,1,1,0,20000,1,12000
50000,1,1,10,1,0,0,0,1,0,0,1,1,1,1,60000,20000,1,1,1,0,10200,25000,1,60000
80000,1,1,8,1,0,0,0,0,0,1,0,0,1,1,45000,20000,1,1,1,0,10200,31428.57143,1,45000
